"age","chapter_owner","display_name","mod_or_cluster","branch_type","target_quest_count","current_live_quest_count","current_coverage_level","status","inbound_links","outbound_links","notes"
"Annexes","annex_minecolonies_prologue","Minecolonies Prologue","Minecolonies + Minecolonies Questline","support","24","0","none","scaffolded","annexes_index_and_signposting; annex_minecolonies_bridge","",""
"Annexes","annex_minecolonies_supply_chain","Minecolonies Supply Chain","Minecolonies + Create + Industrial Foregoing","support","34","0","none","scaffolded","annex_minecolonies_prologue; industrial_factory_logistics","",""
"Annexes","annex_retrospective_and_redirects","Retrospective and Redirects","FTB Quests","support","36","0","none","scaffolded","annex_side_systems_and_optional_tracks","",""
"Annexes","annex_side_systems_and_optional_tracks","Side Systems and Optional Tracks","Minecolonies + When Dungeons Arise + Artifacts + Relics","support","36","0","none","scaffolded","annex_minecolonies_supply_chain; annex_structure_route_planner","",""
"Annexes","annex_structure_route_planner","Structure Route Planner","When Dungeons Arise + Waystones + Nature's Compass + Explorer's Compass","support","30","0","none","scaffolded","annex_wda_expedition_guide; stone_travel_and_controlled_combat","",""
"Annexes","annex_wda_expedition_guide","WDA Expedition Guide","When Dungeons Arise + Waystones + Clavis","support","28","0","none","scaffolded","annexes_index_and_signposting; annex_wda_bridge","",""
"Annexes","annexes_index_and_signposting","Annexes Index and Signposting","FTB Quests","support","12","3","partial","bounded","","",""
"Ascension","ascension_avaritia_capstones","Avaritia Capstones","Re-Avaritia","spine","44","0","none","scaffolded","ascension_projecte_exchange_ethics; ascension_dyson_cube_project","","Late prestige capstone branch. Re-Avaritia remains the final crafting convergence, not a Space-age reward lane."
"Ascension","ascension_boss_hunts","Ascension Boss Hunts","fdbosses + Block Factory's Bosses + ArPhEx","boss","26","0","none","scaffolded","ascension_avaritia_capstones","","Future final boss spine: sequential prestige validators should unlock ProjectE, Dyson, Avaritia, then the final ascension boss."
"Ascension","ascension_dyson_cube_project","Dyson Cube Project","Dyson Cube Project","spine","40","0","none","scaffolded","ascension_prestige_crafting","","Major mega-project branch for final-age scale and infrastructure."
"Ascension","ascension_entry_and_scale_shift","Entry and Scale Shift","Minecraft + fdbosses","spine","18","0","none","scaffolded","ascension_threshold","","Ascension opener and tone reset. Should frame prestige-scale fabrication and final convergence rather than staying a hidden placeholder forever."
"Ascension","ascension_prestige_crafting","Prestige Crafting","Extended Crafting + Modular Machinery Reborn + Modular Machinery Reborn Mekanism","spine","58","0","none","scaffolded","ascension_entry_and_scale_shift","","Main fabrication backbone for Ascension. This is where final multi-system recipes should consolidate."
