age,chapter_owner,display_name,mod_or_cluster,branch_type,target_quest_count,current_live_quest_count,current_coverage_level,status,inbound_links,outbound_links,notes
Annexes,annex_minecolonies_prologue,Minecolonies Prologue,Minecolonies + Minecolonies Questline,support,24,0,none,in_progress,annexes_index_and_signposting; annex_minecolonies_bridge,,
Annexes,annex_minecolonies_supply_chain,Minecolonies Supply Chain,Minecolonies + Create + Industrial Foregoing,support,34,0,none,in_progress,annex_minecolonies_prologue; industrial_factory_logistics,,
Annexes,annex_retrospective_and_redirects,Retrospective and Redirects,FTB Quests,support,36,0,none,in_progress,annex_side_systems_and_optional_tracks,,
Annexes,annex_side_systems_and_optional_tracks,Side Systems and Optional Tracks,Minecolonies + When Dungeons Arise + Artifacts + Relics,support,36,0,none,in_progress,annex_minecolonies_supply_chain; annex_structure_route_planner,,
Annexes,annex_structure_route_planner,Structure Route Planner,When Dungeons Arise + Waystones + Nature's Compass + Explorer's Compass,support,30,0,none,in_progress,annex_wda_expedition_guide; stone_travel_and_controlled_combat,,
Annexes,annex_wda_expedition_guide,WDA Expedition Guide,When Dungeons Arise + Waystones + Clavis,support,28,0,none,in_progress,annexes_index_and_signposting; annex_wda_bridge,,
Annexes,annexes_index_and_signposting,Annexes Index and Signposting,FTB Quests,support,12,3,partial,in_progress,,,
Ascension,ascension_entry_and_scale_shift,Entry and Scale Shift,Minecraft + fdbosses,spine,18,0,none,in_progress,ascension_threshold,,Ascension opener and tone reset. Should frame prestige-scale fabrication and final convergence rather than staying a hidden placeholder forever.
Ascension,ascension_prestige_crafting,Prestige Crafting,Extended Crafting + Modular Machinery Reborn + Modular Machinery Reborn Mekanism,spine,58,0,none,in_progress,ascension_entry_and_scale_shift,,Main fabrication backbone for Ascension. This is where final multi-system recipes should consolidate.
Renaissance,annex_wda_bridge,WDA Bridge,When Dungeons Arise + Waystones + Clavis,support,12,0,none,in_progress,expedition_treasure_routes_and_clavis_ii,,
Renaissance,diamonds_and_branch_unlocks,Diamonds and Branch Unlocks,Minecraft,spine,24,6,partial,in_progress,diamond_threshold,,
Renaissance,ren_aether_literacy,Aether and Deep Aether Literacy,Aether + Deep Aether,spine,36,36,meaningful,in_progress,ren_magic_foundations; ren_nether_threshold,ren_end_threshold,"Live bounded route: Aether entry, native materials, Slider, Deep Aether Eye of the Storm, and `endrem:evil_eye`; Sun Spirit is optional trophy depth and Valkyrie Queen is reserved for IR."
Renaissance,ren_realm_literacy_aether_support,Aether Realm Literacy Support,Aether + Deep Aether + Waystones + Sophisticated Backpacks,support,16,14,meaningful,in_progress,diamonds_and_branch_unlocks,,Aether first-contact utility supports the required dungeon-boss lane; legacy Twilight references removed from this row.
Renaissance,expedition_nether_entry_and_route_survival,Nether Entry and Route Survival,Minecraft + YUNG's Better Nether Fortresses,side,14,5,meaningful,in_progress,diamonds_and_branch_unlocks,expedition_betternether_materials_and_adaptation; expedition_fortresses_and_hellish_trials; blaze_breakthrough,"Live Nether opener for portal entry, piglin-safe footing, glowstone return stock, magma-cream fire planning, and strider travel so the Nether feels like a route problem instead of a one-stop blaze errand."
Renaissance,expedition_betternether_materials_and_adaptation,BetterNether Materials and Adaptation,BetterNether,side,18,8,meaningful,in_progress,expedition_nether_entry_and_route_survival,blaze_breakthrough,"Live BetterNether branch now covers reed support, Cincinnasite shards and ingots, forged stock, the Cincinnasite Forge, Nether Ruby material, and one real local weapon payoff."
Renaissance,expedition_fortresses_and_hellish_trials,Fortresses and Hellish Trials,Hellish Trials + YUNG's Better Nether Fortresses + EternalNether,side,12,6,meaningful,in_progress,expedition_nether_entry_and_route_survival,blaze_breakthrough; expedition_bomd_nether_gauntlet,"Live Nether combat branch now chains fortress wart routing into Nether Trial proof, then EternalNether warped-ender-pearl and withered-bone combat proof, then Catacomb contact before the BOMD Gauntlet capstone. Removed Luminous Nether is not live authority."
Renaissance,expedition_luminous_nether_climax,Removed Luminous Nether Hunts Tombstone,REMOVED: Luminous Nether,side,16,0,none,stale_removed_mod,,,"Stale tombstone only. No Luminous Nether or Luminous:Tag jar is installed; do not author luminous_nether progression, bosses, structures, loot, or optional depth. Use installed Nether/EternalNether/Hellish Trials plus BOMD Nether Gauntlet instead."
Renaissance,expedition_bomd_nether_gauntlet,Nether Gauntlet Conquest,Bosses of Mass Destruction + Minecraft + EternalNether,gate,14,3,meaningful,in_progress,expedition_fortresses_and_hellish_trials; blaze_breakthrough,industrial_nether_logistics_and_ore_escalation,"Live final Nether capstone chapter. Finding Gauntlet Blackstone proves you found the BOMD arena, Nether Gauntlet defeat is the real Expedition -> Automation gate, and Blazing Eye is the immediate return-home payoff. Removed Luminous Nether is not part of the live route."
Renaissance,expedition_nautec_underwater_first_contact,Nautec Underwater First Contact,NauTec + Waystones + Sophisticated Backpacks,side,20,13,meaningful,in_progress,ren_realm_literacy_aether_support,,"Live bounded underwater Expedition branch: salt water, underwater salvage parts, cast iron, diving gear, air bottles, Aquatic Catalyst, repaired chips, and Prism Monocle utility without widening into full laser chemistry or augmentation."
Renaissance,expedition_apotheosis_and_enchanting,Apotheosis and Enchanting,Apotheosis + Apothic Enchanting + Apothic Attributes,spine,40,0,none,in_progress,diamonds_and_branch_unlocks,,
Renaissance,ren_realm_boss_hunts,Realm Boss Hunts,Aether + Deep Aether + The Undergarden + Minecraft,boss,19,0,none,in_progress,ren_realm_literacy_aether_lane; expedition_undergarden_and_deeper_frontiers,,Aether/Deep Aether are required spine proofs; other realm and dark-frontier bosses follow the current boss contract.
Renaissance,expedition_enchanting_and_apotheosis_entry,Enchanting and Apotheosis Entry,Minecraft + Apotheosis,support,16,5,partial,in_progress,diamonds_and_branch_unlocks,,
Renaissance,expedition_enchanting_and_apotheosis_followup,Enchanting and Apotheosis Follow-Up,Minecraft + Apotheosis,support,16,6,partial,in_progress,expedition_enchanting_and_apotheosis_entry,,Now includes Salvaging Table as the first honest Apotheosis utility payoff after gem cutting.
Renaissance,expedition_ae2_entry,AE2 Starter Network,Applied Energistics 2 + Sophisticated Storage,spine,16,10,meaningful,in_progress,expedition_storage_uplift,blaze_breakthrough; industrial_nether_logistics_and_ore_escalation,"Required Expedition digital-storage baseline with first terminal, drive, cells, bus integration, power input, and controller support."
Renaissance,expedition_refined_storage_entry,Refined Storage Optional,Refined Storage + RSRequestify,support,16,7,partial,in_progress,expedition_storage_uplift,,Optional alternate storage lane; no gate ownership.
Renaissance,expedition_storage_uplift,Storage Uplift,Applied Energistics 2 + Sophisticated Storage,spine,38,7,partial,in_progress,diamonds_and_branch_unlocks,expedition_ae2_entry; expedition_refined_storage_entry,Now includes Storage Controller and Storage Link so the chest-upgrade path feeds later network use instead of stopping at bigger boxes.
Renaissance,expedition_treasure_routes_and_clavis_ii,Treasure Routes and Clavis II,Clavis + Lootr + Waystones,side,20,0,none,in_progress,stone_treasure_and_lock_tiers; stone_travel_and_controlled_combat,,
Renaissance,expedition_twilight_forest,Twilight Forest,Twilight Forest,side,28,0,none,in_progress,mechanical_age_boss_hunts; expedition_storage_uplift,,Keep deferred until tech payoff is defined.
Renaissance,expedition_undergarden_and_deeper_frontiers,Undergarden First Contact,The Undergarden,side,24,9,partial,in_progress,ren_realm_literacy_aether_support,,"Live bounded dark-frontier branch now goes one step past first contact with goo-ball and lead utility, while still stopping short of infuser progression, deeper frontiers, and boss asks."
Renaissance,expedition_workshop_and_industrial_prep,Workshop and Industrial Prep,Minecraft + Create + Immersive Engineering,spine,20,12,meaningful,in_progress,diamonds_and_branch_unlocks; mechanical_create_foundations; mechanical_engineers_handwork,expedition_ae2_entry; blaze_breakthrough; industrial_nether_logistics_and_ore_escalation,"Live Nether return loop chapter. Feeds AE2 growth, Create workshop maturity, IE material prep, and the first Automation on-ramp, now as one lane inside a broader Nether progression family."
Gilded Age,power_beyond_wires,Power Beyond Wires,Astral Dimension + Gilded proof matrix,gate,44,44,meaningful,in_progress,industrial_modern_industrialization; industrial_industrial_foregoing; industrial_petroleum_and_extraction; industrial_create_process_infrastructure; industrial_hostile_neural_networks; industrial_boss_hunts,nuclear_entry_and_containment_protocols,"Live Gilded -> Atomic gate. Atomic Disassembler grants `atomic` after the five Gilded lane proofs, Chartered Arcana authorization, and Void Titan/Titan Helmet proof."
Industrial Revolution,industrial_factory_logistics,Factory Logistics,Create + Sophisticated Storage + More Red,support,44,14,partial,in_progress,industrial_oritech,industrial_power_grids,"Bounded support lane for routing, buffering, flow control, and machine-line organization around the first Oritech factory lines."
Gilded Age,industrial_create_process_infrastructure,Create Process Infrastructure,Create + Create Additions + Create New Age + Create Metalwork + Create Oritech Compat + Assembly Line,support,38,17,meaningful,in_progress,industrial_power_grids; industrial_modern_industrialization,industrial_petroleum_and_extraction; industrial_pneumaticcraft; power_beyond_wires,"Live dense Create-side Industrial support arc now covers mechanical crafting, fluid tanks and pumps, spouts, energising, heat pipes, powered heaters, molten brass handling, rolling mills, and the first electric motor/alternator line. In the redesign this stays the physical factory-infrastructure bush, not the owner of hazardous Nuclear systems."
Gilded Age,industrial_petroleum_and_extraction,Petroleum and Extraction,TFMG + Create Ore Excavation + Railways + Create,support,34,15,meaningful,in_progress,industrial_modern_industrialization; industrial_create_process_infrastructure,industrial_pneumaticcraft; power_beyond_wires,"Live petroleum and anchored-extraction support arc now covers surveying, pumpjack structure, distillation parts, firebox heat, anchored drilling/extraction, and the first rail-fuel handoff. It remains the shared oil backbone that later Nuclear and pressure systems should consume rather than duplicate."
